,item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
309,147,AB,Ti.46Fe.45V.05Mn.05,1.7,28.6,22,295.15,2.0,"Mitrokhin, 1993",396.0,,,
310,551,AB2,Zr.6Ho.4Co2,1.0,29.3,50,323.15,2.0,"Ramesh, 1993",363.0,,,
311,635,AB2,ZrMn2Fe.8,1.2,29.3,30,303.15,2.0,"Uchida, 1986",370.0,,,
312,598,AB2,ZrMn1.11Fe1.22,1.3,29.4,30,303.15,2.0,"Uchida, 1986",370.0,,,
313,806,AB2,TiCr2,1.8,29.7,-40,233.15,2.0,"Kabutomori, 1995",479.0,,,
314,1154,AB5,MmNi4.4Al.6,1.2,30.0,30,303.15,2.0,"Iwakura, 1995",1177.0,,,
315,601,AB2,ZrMn1.22Fe1.14,1.2,31.0,40,313.15,2.0,"Uchida, 1986",370.0,,,
316,1142,AB5,MmNi4.2Al.4Mn.4,1.4,31.0,30,303.15,2.0,"Iwakura, 1995",1177.0,,,
317,1354,AB5,MmCFNi4.8Al.2,1.33,31.4,25,298.15,2.0,"Mendelsoh, 1979",265.0,(MmCF = cerium-free Mm),,
318,1140,AB5,MmNi4.2Al.4Cr.4,1.3,31.8,30,303.15,2.0,"Iwakura, 1995",1177.0,,,
319,2060,MIC,Dy2Co7 (M),1.1,34.2,50,323.15,2.0,"Ming, 1999",1300.0,,,
320,2059,MIC,Dy2Co7 (M),1.1,35.8,50,323.15,2.0,"Goudy, 1976",186.0,,,
321,561,AB2,ZrCrFe,1.6,36.0,51,324.15,2.0,"Yu, 1985",555.0,,,
322,2178,MIC,Lu6Fe23,0.6,39.7,0,273.15,2.0,"Smith, 1983",612.0,,,
323,1633,Complex,Li3Be2H5,8.1,40.0,300,573.15,2.0,"Zaluska, 2000",1450.0,,Measured H-content,
324,2256,MIC,Tb2Co7 (M),1.1,40.4,50,323.15,2.0,"Goudy, 1976",186.0,,,
325,732,AB2,LaRh2 (M),1.4,44.3,244,517.15,2.0,"Shaltiel, 1979",361.0,,,
326,923,AB2,ZrCr2Co.8,1.0,45.3,100,373.15,2.0,"Drasner, 1991",564.0,,,
327,678,AB2,GdCo2 (M),1.5,48.0,200,473.15,2.0,"Shaltiel, 1979",361.0,,,
328,2657,SS,V.8Ti.2,3.0,48.1,80,353.15,2.0,"Ono, 1980",452.0,,,
329,170,AB,TiCo (M),1.45,54.0,152,425.15,2.0,"Burch, 1979",500.0,,,
330,2225,MIC,Pr2Co7 (M),1.1,54.6,150,423.15,2.0,"Goudy, 1976",186.0,,,
331,2010,Mg,Mg-33Mg2Ni (M),5.8,79.0,302,575.15,2.0,"Buchner, 1978",699.0,,,
332,1982,Mg,Mg2Ni.75Fe.25 (M),3.6,86.0,312,585.15,2.0,"Lupu, 1983",717.0,,,
333,1781,Mg,Mg-10Ni,6.2,90.0,300,573.15,2.0,"Hong, 2002",1494.0,,Rotation-cylinder synthesis method,
334,1973,Mg,Mg2Ni.75Al.25 (M),3.5,90.0,327,600.15,2.0,"Biris, 1982",758.0,,,
335,768,AB2,Ti.9Zr.2Mn1.4Cr.4V.2,2.1,26.7,25,298.15,1.9,"Xu, 2001",1290.0,,,
336,129,A2B,Mg2Ni.75Fe.25 (M),3.3,65.2,300,573.15,1.9,"Yuan, 1997",828.0,,Includes free Mg,
338,1981,Mg,Mg2Ni.75Fe.25 (M),3.3,65.2,300,573.15,1.9,"Yuan, 1997",828.0,,,
340,829,AB2,TiMn1.5,1.9,27.9,0,273.15,1.8,"Andreev, 1982",522.0,,,
341,2602,SS,Pd.92Pt.08,0.4,30.7,80,353.15,1.8,"Yasumatsu, 1999",1406.0,,,
342,1289,AB5,LaNi5,1.5,30.8,25,298.15,1.8,"Lundin, 1975",260.0,,,
343,1275,AB5,LaNi3Cu2,1.1,33.0,35,308.15,1.8,"Ganich, 1999",1523.0,,,
344,216,AB,TiFe.9Ni.1,1.4,35.6,50,323.15,1.8,"Lee, 1999",1211.0,,,
345,1108,AB5,MmCo5,0.7,40.2,40,313.15,1.8,"Osumi, 1978",117.0,,,
346,2658,SS,V.8Ti.2,3.4,60.0,110,383.15,1.8,"Sirotina, 1995",1158.0,,(cal),
347,1279,AB5,LaNi5,1.4,29.1,20,293.15,1.7,"Zhang, 1989",262.0,(Chemically recovered),,
348,1287,AB5,LaNi5,1.5,30.2,25,298.15,1.7,"Luo, 1998",815.0,,,
349,1972,Mg,Mg2Ni.63Fe.37 (M),3.7,82.0,320,593.15,1.7,"Lupu, 1983",717.0,,,
350,1298,AB5,LaNi5.5Mn0.1Al0.05,1.0,26.0,20,293.15,1.6,"Verbetsky, 1989",1529.0,,,
351,854,AB2,Zr.8Ti.2FeMn,1.4,30.0,30,303.15,1.6,"Park, 1991",562.0,,,
352,1920,Mg,Mg0.80Ni0.15Nd0.05,4.9,76.0,300,573.15,1.6,"Tanaka, 1999",1479.0,,Melt spun,
353,577,AB2,ZrFe1.5Cr,1.5,23.0,23,296.15,1.5,"Sinha, 1985",554.0,,,
354,1085,AB5,LaNi4.9Mn0.1,1.4,29.0,35,308.15,1.5,"Ganich, 1999",1521.0,,,
355,1280,AB5,LaNi5,1.4,29.5,21,294.15,1.5,"Shilov, 1988",672.0,,,
356,839,AB2,Zr.79Ti.21MnFe1.02,1.5,33.0,30,303.15,1.5,"Uchida, 1986",370.0,,,
357,1084,AB5,LaNi4.9Al0.1,1.4,33.0,35,308.15,1.5,"Filatova, 2001",1527.0,,,
358,898,AB2,ZrCo1.5V.5,1.5,34.3,50,323.15,1.5,"Shaltiel, 1977",14.0,,,
359,423,AB2,Ti.5Zr.5Mn1.2Fe.3,1.9,39.0,120,393.15,1.5,"Komazaki, 1983",29.0,,,
360,2360,MIC,Y4.3Sc.7Si2.6Ge.4,0.5,39.4,426,699.15,1.5,"McColm, 1987",611.0,,,
361,425,AB2,Ti.5Zr.5Mn2,1.8,40.0,70,343.15,1.5,"Gamo, 1979",34.0,,,
362,2260,MIC,TbCo3 (M),1.3,44.0,100,373.15,1.5,"Wallace, 1980",439.0,,,
363,1679,Mg,Mg-5V,5.8,62.0,310,583.15,1.5,"Liang, 1999",1474.0,,Ball milled composite,
364,982,AB5,CeCo5 (M),0.6,39.0,20,293.15,1.45,"Burnasheva, 1978",1517.0,,,Lower plateau
366,970,AB5,Ce0.2Pr0.8Co5 (M),0.6,39.0,20,293.15,0.23,"Burnasheva, 1978",1517.0,,,Lower plateau
368,979,AB5,CeCo5,0.5,40.0,20,293.15,1.45,"Burnasheva, 1978",1518.0,,,
369,976,AB5,Ce0.8Pr0.2Co5 (M),0.6,37.0,20,293.15,1.42,"Burnasheva, 1978",1517.0,,,Lower plateau
370,1372,AB5,NdNi4.6Sn.4,1.0,26.4,20,293.15,1.4,"Takaguchi, 2000",1196.0,,,sloping plateau
371,149,AB,Ti.96Zr.04Fe.95Nb.04,1.7,31.8,30,303.15,1.4,"Sasai, 1983",79.0,,,
372,191,AB,TiFe.7Mn.2,2.0,34.7,40,313.15,1.4,"Reilly, 1976",383.0,,,
373,1668,Mg,Mg-5Ni,5.9,102.0,300,573.15,1.4,"Hong, 2002",1494.0,,Rotation-cylinder synthesis method,
374,1003,AB5,EuNi5,1.2,26.0,25,298.15,1.3,"Gavra, 1985",280.0,,,
375,1297,AB5,LaNi5.2Mn0.05Al0.05,0.8,26.8,20,293.15,1.3,"Verbetsky, 1989",1529.0,,,
376,2162,MIC,LaCaMgNi6Mn3,1.8,32.3,20,293.15,1.3,"Chen, 2000",1316.0,,,
378,2161,MIC,LaCaMgNi6Mn.3,1.8,32.3,20,293.15,1.0,"Chen, 2000",1295.0,,,
380,138,A2B,Mg2Ni0.75Ti0.25,3.2,59.0,250,523.15,1.3,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
384,1994,Mg,Mg2Ni0.75Ti0.25,3.2,59.0,250,523.15,1.3,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
388,134,A2B,Mg2Ni0.75Cu0.25,3.2,59.0,250,523.15,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
392,1990,Mg,Mg2Ni0.75Cu0.25,3.2,59.0,250,523.15,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
396,1784,Mg,Mg-10Ni (M),7.2,77.4,292,565.15,1.3,"Friedmmeier, 1988",713.0,,,
397,973,AB5,Ce0.6Pr0.4Co5 (M),0.6,38.5,20,293.15,1.26,"Burnasheva, 1978",1517.0,,,Lower plateau
399,971,AB5,Ce0.4Pr0.6Co5 (M),0.6,38.5,20,293.15,1.0,"Burnasheva, 1978",1517.0,,,Lower plateau
401,2086,MIC,ErNi3,1.5,23.8,-40,233.15,1.2,"Verbetsky, 1996",636.0,,,
402,2058,MIC,CePtAl,0.3,24.0,22,295.15,1.2,"Bobet, 2002",1348.0,,,
403,1059,AB5,LaNi4.7Al.3,1.37,29.7,50,323.15,1.2,"Groll, 1989",266.0,,,
404,206,AB,TiFe.9Al.1,1.3,30.0,25,298.15,1.2,"Bruzzone, 1981",422.0,,,
405,1056,AB5,LaNi4.75Al0.25,1.2,33.7,35,308.15,1.2,"Filatova, 1999",1522.0,,,
406,137,A2B,Mg2Ni0.75Ti0.25,3.2,56.0,250,523.15,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
408,1993,Mg,Mg2Ni0.75Ti0.25,3.2,56.0,250,523.15,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
410,2084,MIC,ErFe3,0.8,42.9,150,423.15,1.15,"Goudy, 1976",186.0,,,
411,989,AB5,CeNi4.25Mn.75,1.4,24.7,23,296.15,1.1,"Pourarian, 1985",423.0,,,
412,1258,AB5,LaNi2Cu3,0.9,32.0,35,308.15,1.1,"Ganich, 1999",1523.0,,,
413,1202,AB5,La.8Ce.2Ni4.8Sn.25,1.2,32.4,25,298.15,1.1,"Zhang, 1996",679.0,,,
414,1109,AB5,MmCo5,0.7,32.8,25,298.15,1.1,"Kitada, 1977",507.0,,,
415,2440,MIC,CaTiMgNi9,1.9,33.4,20,293.15,1.1,"Chen, 2000",1316.0,,,
417,2439,MIC,CaTiMgNi9,1.9,33.4,20,293.15,1.0,"Chen, 2000",1295.0,,,
419,1078,AB5,LaNi4.8Sn0.2,1.2,33.5,35,308.15,1.1,"Filatova, 1999",1522.0,,,
420,1230,AB5,La0.75Ce0.25Ni4Cu0.9Ti0.1,1.4,38.4,22,295.15,1.1,"Petrova, 1989",1520.0,,,
421,1225,AB5,La0.65Ce0.28Pr0.07Co5,1.0,47.0,50,323.15,1.1,"Sarynin, 1981",1526.0,,,
422,109,A2B,Mg2Ni,3.2,61.0,250,523.15,1.1,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
428,1955,Mg,Mg2Ni,3.2,61.0,250,523.15,1.1,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
434,133,A2B,Mg2Ni0.75Cr0.25,3.2,61.0,250,523.15,0.9,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
