item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
1113,AB5,MmNi3.4Co1.0Mn.5Al.1,1.4,,30,303.15,0.2,"Hu, 1998",1184,,,sloping plateau
1115,AB5,MmNi3.55Co.75Mn.4Al.3,1.3,,30,303.15,0.2,"Hu, 2000",1197,,,
1124,AB5,MmNi3.5Co.8Al.4Mn.3,1.2,,23,296.15,0.2,"Bowman, 1997",642,Gas atomized,,
1125,AB5,MmNi3.5Co.8Mn.5Si.1,1.3,,30,303.15,0.2,"Hu, 1998",1184,,,sloping plateau
1128,AB5,MmNi3.6Co.8Mn.4Al.2,1.4,,30,303.15,0.2,"Hu, 1998",1184,,,sloping plateau
1129,AB5,MmNi3.6Co0.7Mn0.3Al0.4,1.1,,45,318.15,0.2,"Zhang, 1999",1218,La-rich Mm,,sloping plateau
1145,AB5,MmNi4.2Al.8,0.7,,15,288.15,0.2,"Mungole, 1999",1205,Fe-containing Indian Mm,,
1194,AB5,La.6Ce.4Ni3.77(CuFeCr).6Mn.36Al.27,1.3,,30,303.15,0.2,"Hu, 1999",1190,,,sloping plateau
1207,AB5,La.8Nd.2Ni2.4Co2.5Si.1,1.3,,20,293.15,0.2,"Notten, 1995",412,,,
1216,AB5,La.9Nd.05Pr.05Ni3.5Co.65Al.3Mn.4,1.3,,50,323.15,0.2,"Willey, 1999",1192,,,sloping plateau
1261,AB5,LaNi3.55Mn.4Al.3Co.75,1.3,,25,298.15,0.2,"Joubert, 1998",1186,,,
1271,AB5,LaNi3AlCu,1,,60,333.15,0.2,"Burnasheva, 1984",1528,,,Sloping plateau
1323,AB5,LmNi3.55Al.3Mn.4Co.75,1.29,,40,313.15,0.2,"Yeh, 1999",1194,Lm=La-rich Mm,,sloping plateau
1325,AB5,LmNi3.5Al.3Mn.4Co.75Mn.05,1.49,,40,313.15,0.2,"Yeh, 1999",1194,Lm=La-rich Mm,,sloping plateau
2029,MIC,Ce2Ni7,0.6,,50,323.15,0.2,"van Essen, 1980",355,,,
2044,MIC,CeCo3,1.3,,50,323.15,0.2,"van Essen, 1980",355,,,
2490,SS,Pd.9Y.1,,,60,333.15,0.2,"Poyser, 1997",660,,,
2644,SS,V.667Zr.111Ti.111Mn.111,1.7,,40,313.15,0.2,"Kuriiwa, 1999",1405,,Reversible capacity only?,"Heat treated, Sloping plateau"
2711,SS,Zr.927Nb.024V.049,2.7,,800,1073.15,0.2,"Sinha, 1976",473,,,
178,AB,TiCu,0.6,,500,773.15,0.19,"Arita, 1979",495,,,
2712,SS,Zr.935Nb.024Ni.041,2.6,,800,1073.15,0.19,"Sinha, 1976",473,,,
1233,AB5,La0.8Ce0.2Co5,0.8,34,20,293.15,0.18,"Burnasheva, 1978",1518,,,
2102,MIC,GdFe3,1,50.4,150,423.15,0.18,"Goudy, 1976",186,,,
459,AB2,Ti.8Zr.3Mn1.4Mo.05Cu.05V.2Cr.2,1.9,,20,293.15,0.18,"Au, 1995",860,,,
1110,AB5,MmNi3.05Co.95Al.16Mn.12,1.3,,40,313.15,0.18,"Imoto, 1999",1188,,,
1324,AB5,LmNi3.55Al.3Mn.4Co.75Mn.05,1.49,,40,313.15,0.18,"Yeh, 1999",1194,Lm=La-rich Mm,,sloping plateau
2465,SS,Pd.95Pt.05,0.6,33,30,303.15,0.17,"Noh, 1995",481,,,
1232,AB5,La0.7Ce0.3Co5 (M),0.7,42,20,293.15,0.17,"Burnasheva, 1978",1518,,,Lower plateau
1227,AB5,La0.6Pr0.4Co5 (M),0.9,43,20,293.15,0.17,"Burnasheva, 1978",1517,,,Lower plateau
2475,SS,Pd.975Mo.025,0.5,30.8,30,303.15,0.16,"Ura, 1995",484,,,
2612,SS,Pd.95Bi.05,0.4,37.8,100,373.15,0.16,"Sakamoto, 1996",637,,,
734,AB2,LiPd2,0.8,51,300,573.15,0.16,"Sakamoto, 1995",411,,,
1048,AB5,LaNi4.6Mn.4,1.49,39.4,25,298.15,0.15,"Lundin, 1978",272,,,
1318,AB5,LaNiCo4,1,45,40,313.15,0.15,"Colinet, 1987",569,,,
183,AB,TiCu (M),1.6,126,500,773.15,0.15,"Kadel, 1978",523,,,
305,AB,Zr.97Mm.03Ni.96Sn.1,1.4,,232,505.15,0.15,"Sandrock, 1987",336,,,
403,AB2,Tb.27Dy.73Fe2,1.5,,200,473.15,0.15,"Manwaring, 1993",379,,,
532,AB2,Zr(Mn.4Ni.6)1.9,1.7,,30,303.15,0.15,"Lee, 2000",1272,,,
543,AB2,Zr.5Ti.5Mn.4V.6Ni.85Co.15,1.6,,30,303.15,0.15,"Song, 2001",1238,,,sloping plateau
1034,AB5,LaNi4.5Mn.5,1.5,,20,293.15,0.15,"Sakai, 1990",570,,,
1117,AB5,MmNi3.55Co.75Mn.6Al.1,1.5,,25,298.15,0.15,"Wu, 1997",808,,,
2428,MIC,Zr7Ni10,1.4,,80,353.15,0.15,"Joubert, 1995",619,,,
596,AB2,ZrMn.6V.2Ni1.2,1.8,,25,298.15,0.14,"Hsu, 2000",1276,,,
1256,AB5,LaNi2.5Co2.5,1,,20,293.15,0.14,"Sakai, 1990",570,,,
2467,SS,Pd.95Rh.05,0.7,34.2,30,303.15,0.13,"Sakamoto, 1994",868,,,
302,AB,Zr.96Mm.04Ni.9,1.7,,232,505.15,0.13,"Sandrock, 1987",336,,,
304,AB,Zr.97Mm.03Ni.87Al.09,1.4,,232,505.15,0.13,"Sandrock, 1987",336,,,
2469,SS,Pd.95Rh.05,0.75,,50,323.15,0.13,"Fazle Kibria, 1999",1417,,,
2559,SS,Nb.865Fe.065Cr.07,1,,45,318.15,0.13,"Esayed, 1997",846,,,
623,AB2,ZrMn2.6Fe.2,1.4,15,100,373.15,0.12,"Pourarian, 1982",512,,,
628,AB2,ZrMn2.8Fe.4,1.2,23,100,373.15,0.12,"Pourarian, 1982",512,,,
18,A2B,Ti2Cu (M),2.2,130,500,773.15,0.12,"Kadel, 1978",523,,,
1103,AB5,LaNi4Fe,0.8,34.5,40,313.15,0.11,"Misawa, 1979",118,(+ Fe2.5),,
1234,AB5,La0.8Pr0.2Co5 (M),0.9,38,20,293.15,0.11,"Burnasheva, 1978",1517,,,Lower plateau
26,A2B,Ti2Ni (M),1.6,,150,423.15,0.11,"Buchner, 1972",71,,,
303,AB,Zr.97Mm.03Ni.77Cu.19,1.6,,232,505.15,0.11,"Sandrock, 1987",336,,,
1294,AB5,LaNi5,1.8,30.1,-40,233.15,0.1,"Semenenko, 1977",504,,,
2474,SS,Pd.972Ir.028,0.5,30.7,25,298.15,0.1,"LaPrade, 1974",469,,,
2478,SS,Pd.98V.02,0.5,30.8,25,298.15,0.1,"Artman, 1976",485,,,
1182,AB5,MmNi4Al,1.1,32,30,303.15,0.1,"Iwakura, 1995",1177,,,sloping plateau
607,AB2,ZrMn1.8,1.6,38.8,50,323.15,0.1,"Luo, 1992",582,,,
586,AB2,ZrFeCr,1.7,49.4,50,323.15,0.1,"Shaltiel, 1977",14,,,
347,AB2,CeMg2,3.1,101,216,489.15,0.1,"Verbetsky, 1989",1155,,,
1750,Mg,CeMg2,3.1,101,216,489.15,0.1,"Verbetsky, 1989",1155,,,
2405,MIC,Zr3V3O,1.2,152,700,973.15,0.1,"Mendelsohn, 1982",440,,,
49,A2B,Zr2Pd,1.6,,25,298.15,0.1,"Spada, 1987",424,,,
279,AB,Sc1-xTixNi,1.5,,25,298.15,0.1,"Balema, 2000",1215,x=0-0.5,,
435,AB2,Ti.75Zr.25Cr1.5Ni.5,1.7,,40,313.15,0.1,"Bououdina, 1998",1249,,,sloping plateau
545,AB2,Zr.5Ti.5Mn.4V.6Ni.85Fe.15,1.6,,30,303.15,0.1,"Song, 2001",1238,,,sloping plateau
576,AB2,ZrFe1.5Al.5,1,,20,293.15,0.1,"Jacob, 1978",16,,,
845,AB2,Zr.7Ti.3Mn2,1.7,,30,303.15,0.1,"Fujii, 1981",18,,,
848,AB2,Zr.7Ti.3Ni1.0V.4Mn.3Cr.3,1.7,,30,303.15,0.1,"Liu, 1997",818,,,
865,AB2,Zr.9Ti.1(Mn.7V.5Ni1.2)0.92,0.7,,30,303.15,0.1,"Kim, 1999",1250,y=0.84-1.0,,sloping plateaux
894,AB2,ZrAl2,0.35,,20,293.15,0.1,"Jacob, 1978",16,,,
935,AB2,ZrV.7Mn.5Ni1.2,1.6,,60,333.15,0.1,"Lee, 1999",1265,,,
1026,AB5,LaNi4.5Al.5,1.3,,20,293.15,0.1,"Sakai, 1990",570,,,
1033,AB5,LaNi4.5Mn.5,,,25,298.15,0.1,"Percheron, 1994",269,,,
1114,AB5,MmNi3.4Co1.0Mn.5Al.1,1.4,,30,303.15,0.1,"Hu, 1998",1184,(annealed),,
1131,AB5,MmNi3.94Mn.3Al.4Co.36,1.3,,22,295.15,0.1,"Latroche, 1999",1193,,,
1190,AB5,La.4Ce.2Ca.5Ni3.55Co.75Mn.4Al.3,1.2,,22,295.15,0.1,"Visintin, 1996",633,,,
1200,AB5,La.8Ce.2Ca.1Ni3.55Co.75Mn.4Al.3,1.45,,22,295.15,0.1,"Visintin, 1996",633,,,
1257,AB5,LaNi2.5Co2.5 (M),1.2,,30,303.15,0.1,"Uchida, 1995",413,,,
1334,AB5,MlNi3.6Co0.85Mn0.40Al0.15,1.3,,45,318.15,0.1,"Ma, 2002",1531,Ml-La-rich Mm,,
1338,AB5,MlNi4Co0.6Al0.4,1.3,,22,295.15,0.1,"Chen, 2002",1532,Ml-La-rich Mm,,
1370,AB5,NdCo5 (M),0.77,,30,303.15,0.1,"Yamaguchi, 1982",179,,,
2281,MIC,Th7Fe3,1.7,,40,313.15,0.1,"Buschow, 1977",187,,,
2285,MIC,ThFe3,0.7,,40,313.15,0.1,"Buschow, 1977",187,,,
2639,SS,V.49Ti.43Fe.075,3.9,,150,423.15,0.1,"Park, 1999",1401,,,
2641,SS,V.61Ti.30Ni.09,2.1,,60,333.15,0.1,"Nambu, 2002",1413,,,Sloping plateau?
